GO:0000018
GO:0000038
GO:0000041
GO:0000075
GO:0000245
GO:0000266
GO:0000380
GO:0000387
GO:0000422
GO:0000423
GO:0000460
GO:0000463
GO:0000479
GO:0000725
GO:0000731
GO:0000910
GO:0000956
GO:0000959
GO:0000966
GO:0001510
GO:0001578
GO:0001649
GO:0001655
GO:0001676
GO:0001702
GO:0001708
GO:0001764
GO:0001824
GO:0001825
GO:0001832
GO:0001837
GO:0001892
GO:0001906
GO:0001914
GO:0001953
GO:0002064
GO:0002088
GO:0002090
GO:0002200
GO:0002230
GO:0002274
GO:0002335
GO:0002526
GO:0002573
GO:0002685
GO:0002688
GO:0002690
GO:0002886
GO:0002931
GO:0003007
GO:0003009
GO:0003014
GO:0003151
GO:0003205
GO:0003333
GO:0003341
GO:0006006
GO:0006022
GO:0006023
GO:0006026
GO:0006040
GO:0006081
GO:0006099
GO:0006119
GO:0006123
GO:0006261
GO:0006275
GO:0006289
GO:0006298
GO:0006301
GO:0006303
GO:0006304
GO:0006312
GO:0006346
GO:0006353
GO:0006354
GO:0006360
GO:0006367
GO:0006376
GO:0006383
GO:0006405
GO:0006473
GO:0006487
GO:0006493
GO:0006516
GO:0006536
GO:0006575
GO:0006612
GO:0006626
GO:0006633
GO:0006637
GO:0006638
GO:0006643
GO:0006672
GO:0006690
GO:0006720
GO:0006754
GO:0006767
GO:0006778
GO:0006805
GO:0006813
GO:0006814
GO:0006820
GO:0006821
GO:0006826
GO:0006836
GO:0006839
GO:0006879
GO:0006885
GO:0006888
GO:0006890
GO:0006892
GO:0006903
GO:0006909
GO:0006936
GO:0006939
GO:0006941
GO:0006956
GO:0006997
GO:0007006
GO:0007007
GO:0007020
GO:0007029
GO:0007030
GO:0007031
GO:0007032
GO:0007039
GO:0007041
GO:0007042
GO:0007043
GO:0007062
GO:0007064
GO:0007093
GO:0007097
GO:0007157
GO:0007160
GO:0007179
GO:0007188
GO:0007200
GO:0007204
GO:0007215
GO:0007219
GO:0007229
GO:0007254
GO:0007266
GO:0007369
GO:0007422
GO:0007492
GO:0007520
GO:0007548
GO:0007623
GO:0007626
GO:0007631
GO:0008053
GO:0008090
GO:0008277
GO:0008608
GO:0008630
GO:0008637
GO:0009063
GO:0009081
GO:0009123
GO:0009132
GO:0009225
GO:0009250
GO:0009299
GO:0009303
GO:0009311
GO:0009395
GO:0009411
GO:0009451
GO:0009612
GO:0009636
GO:0009755
GO:0009952
GO:0010001
GO:0010039
GO:0010043
GO:0010212
GO:0010586
GO:0010761
GO:0010811
GO:0010837
GO:0010875
